Target,pdb_id,Chain,Warhead,SMILES,%Exposed,pdb_path
DYRK1A,7z5n,A,3NG,O=C(O)c1ccc2c(c1)nc(Nc1cccc(Cl)c1)c1ccncc12,0.52,/home/jxs794/WEBTOOLs/PROTAC-Target-Builder/jobs/d6706e03/WAR_PDB/DYRK1A/7z5n_A_3NG.pdb
DYRK1A,7z5n,F,3NG,O=C(O)c1ccc2c(c1)nc(Nc1cccc(Cl)c1)c1ccncc12,0.52,/home/jxs794/WEBTOOLs/PROTAC-Target-Builder/jobs/d6706e03/WAR_PDB/DYRK1A/7z5n_F_3NG.pdb
DYRK1A,9fpx,B,CC9,COc1cc(/C=C/C(=O)CC(=O)/C=C/c2ccc(O)c(OC)c2)ccc1O,0.519,/home/jxs794/WEBTOOLs/PROTAC-Target-Builder/jobs/d6706e03/WAR_PDB/DYRK1A/9fpx_B_CC9.pdb
DYRK1A,6eij,A,B5Z,O=C(NCCN1CCOCC1)Nc1cccc(-c2ccc3nc(NC(=O)C4CC4)sc3n2)c1,0.515,/home/jxs794/WEBTOOLs/PROTAC-Target-Builder/jobs/d6706e03/WAR_PDB/DYRK1A/6eij_A_B5Z.pdb
DYRK1A,6eij,C,B5Z,O=C(NCCN1CCOCC1)Nc1cccc(-c2ccc3nc(NC(=O)C4CC4)sc3n2)c1,0.515,/home/jxs794/WEBTOOLs/PROTAC-Target-Builder/jobs/d6706e03/WAR_PDB/DYRK1A/6eij_C_B5Z.pdb
DYRK1A,6eiv,A,B6Q,CCC(=O)Nc1cccc(C(=O)c2sc(Nc3ccc(N4CCN(C)CC4)cc3)nc2N)c1,0.515,/home/jxs794/WEBTOOLs/PROTAC-Target-Builder/jobs/d6706e03/WAR_PDB/DYRK1A/6eiv_A_B6Q.pdb
DYRK1A,6eir,C,B6H,CCC(=O)Nc1ccc(C(=O)c2sc(Nc3ccc(N4CCN(C)CC4)cc3OC)nc2N)cc1,0.514,/home/jxs794/WEBTOOLs/PROTAC-Target-Builder/jobs/d6706e03/WAR_PDB/DYRK1A/6eir_C_B6H.pdb
DYRK1A,2vx3,A,D15,NCC[C@H](C(=O)Nc1ccc2[nH]nc(NC(=O)c3ccccc3)c2c1)c1cccc(Cl)c1,0.5,/home/jxs794/WEBTOOLs/PROTAC-Target-Builder/jobs/d6706e03/WAR_PDB/DYRK1A/2vx3_A_D15.pdb
DYRK1A,2vx3,C,D15,NCC[C@H](C(=O)Nc1ccc2[nH]nc(NC(=O)c3ccccc3)c2c1)c1cccc(Cl)c1,0.5,/home/jxs794/WEBTOOLs/PROTAC-Target-Builder/jobs/d6706e03/WAR_PDB/DYRK1A/2vx3_C_D15.pdb
DYRK1A,2vx3,D,D15,NCC[C@H](C(=O)Nc1ccc2[nH]nc(NC(=O)c3ccccc3)c2c1)c1cccc(Cl)c1,0.5,/home/jxs794/WEBTOOLs/PROTAC-Target-Builder/jobs/d6706e03/WAR_PDB/DYRK1A/2vx3_D_D15.pdb
DYRK1A,2wo6,A,D15,NCC[C@H](C(=O)Nc1ccc2[nH]nc(NC(=O)c3ccccc3)c2c1)c1cccc(Cl)c1,0.5,/home/jxs794/WEBTOOLs/PROTAC-Target-Builder/jobs/d6706e03/WAR_PDB/DYRK1A/2wo6_A_D15.pdb
DYRK1A,5aik,A,AWR,COc1ccc2c3ccnc(C(F)(F)F)c3n(CCCCN)c2c1,0.5,/home/jxs794/WEBTOOLs/PROTAC-Target-Builder/jobs/d6706e03/WAR_PDB/DYRK1A/5aik_A_AWR.pdb
DYRK1A,6eiq,A,B6Z,COc1cc(N2CCN(C)CC2)ccc1Nc1nc(N)c(C(=O)c2ccccc2)s1,0.5,/home/jxs794/WEBTOOLs/PROTAC-Target-Builder/jobs/d6706e03/WAR_PDB/DYRK1A/6eiq_A_B6Z.pdb
DYRK1A,6eiq,D,B6Z,COc1cc(N2CCN(C)CC2)ccc1Nc1nc(N)c(C(=O)c2ccccc2)s1,0.5,/home/jxs794/WEBTOOLs/PROTAC-Target-Builder/jobs/d6706e03/WAR_PDB/DYRK1A/6eiq_D_B6Z.pdb
DYRK1A,6ej4,A,B7W,Nc1cccc(-c2cnc3[nH]cc(-c4cccnc4)c3c2)c1,0.5,/home/jxs794/WEBTOOLs/PROTAC-Target-Builder/jobs/d6706e03/WAR_PDB/DYRK1A/6ej4_A_B7W.pdb
DYRK1A,7zh8,C,IWU,Brc1cnc2[nH]nnc2c1,0.5,/home/jxs794/WEBTOOLs/PROTAC-Target-Builder/jobs/d6706e03/WAR_PDB/DYRK1A/7zh8_C_IWU.pdb
DYRK1A,8yev,A,CUE,O=c1oc2cc(O)ccc2c2oc3cc(O)ccc3c12,0.5,/home/jxs794/WEBTOOLs/PROTAC-Target-Builder/jobs/d6706e03/WAR_PDB/DYRK1A/8yev_A_CUE.pdb
DYRK1A,4nct,C,2K2,CO[C@@H]1[C@H](N(C)C(=O)c2ccccc2)C[C@H]2O[C@]1(C)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4,0.488,/home/jxs794/WEBTOOLs/PROTAC-Target-Builder/jobs/d6706e03/WAR_PDB/DYRK1A/4nct_C_2K2.pdb
DYRK1A,4mq1,A,2C3,COc1ncc2cc(C(=O)Nc3cc(C(=O)N[C@H](CCN)c4cccc(Cl)c4)ccc3Cl)c(=O)[nH]c2n1,0.486,/home/jxs794/WEBTOOLs/PROTAC-Target-Builder/jobs/d6706e03/WAR_PDB/DYRK1A/4mq1_A_2C3.pdb
DYRK1A,6eir,D,B6H,CCC(=O)Nc1ccc(C(=O)c2sc(Nc3ccc(N4CCN(C)CC4)cc3OC)nc2N)cc1,0.486,/home/jxs794/WEBTOOLs/PROTAC-Target-Builder/jobs/d6706e03/WAR_PDB/DYRK1A/6eir_D_B6H.pdb
DYRK1A,7o7k,A,6ZV,CCN1CCN(Cc2ccc(Nc3ncc(F)c(-c4cc(F)c5nc(C)n(C(C)C)c5c4)n3)nc2)CC1,0.486,/home/jxs794/WEBTOOLs/PROTAC-Target-Builder/jobs/d6706e03/WAR_PDB/DYRK1A/7o7k_A_6ZV.pdb
DYRK1A,6eiv,D,B6Q,CCC(=O)Nc1cccc(C(=O)c2sc(Nc3ccc(N4CCN(C)CC4)cc3)nc2N)c1,0.485,/home/jxs794/WEBTOOLs/PROTAC-Target-Builder/jobs/d6706e03/WAR_PDB/DYRK1A/6eiv_D_B6Q.pdb
DYRK1A,8t2h,A,XIR,Cc1nc2ccc(-c3ccnc(N)c3)nc2n1-c1ccc(N2CCN(C)CC2)c(F)c1,0.484,/home/jxs794/WEBTOOLs/PROTAC-Target-Builder/jobs/d6706e03/WAR_PDB/DYRK1A/8t2h_A_XIR.pdb
DYRK1A,8t2h,B,XIR,Cc1nc2ccc(-c3ccnc(N)c3)nc2n1-c1ccc(N2CCN(C)CC2)c(F)c1,0.484,/home/jxs794/WEBTOOLs/PROTAC-Target-Builder/jobs/d6706e03/WAR_PDB/DYRK1A/8t2h_B_XIR.pdb
DYRK1A,4mq2,A,2C4,COC(=O)c1ccc(Cl)c(NC(=O)c2cc3cnc(OC)nc3[nH]c2=O)c1,0.481,/home/jxs794/WEBTOOLs/PROTAC-Target-Builder/jobs/d6706e03/WAR_PDB/DYRK1A/4mq2_A_2C4.pdb
DYRK1A,9fpx,A,CC9,COc1cc(/C=C/C(=O)CC(=O)/C=C/c2ccc(O)c(OC)c2)ccc1O,0.481,/home/jxs794/WEBTOOLs/PROTAC-Target-Builder/jobs/d6706e03/WAR_PDB/DYRK1A/9fpx_A_CC9.pdb
DYRK1A,6eif,B,B5T,NS(=O)(=O)c1ccc(-c2cnc3[nH]cc(-c4cccnc4)c3c2)cc1,0.48,/home/jxs794/WEBTOOLs/PROTAC-Target-Builder/jobs/d6706e03/WAR_PDB/DYRK1A/6eif_B_B5T.pdb
DYRK1A,7z5n,G,3NG,O=C(O)c1ccc2c(c1)nc(Nc1cccc(Cl)c1)c1ccncc12,0.48,/home/jxs794/WEBTOOLs/PROTAC-Target-Builder/jobs/d6706e03/WAR_PDB/DYRK1A/7z5n_G_3NG.pdb
DYRK1A,7z5n,H,3NG,O=C(O)c1ccc2c(c1)nc(Nc1cccc(Cl)c1)c1ccncc12,0.48,/home/jxs794/WEBTOOLs/PROTAC-Target-Builder/jobs/d6706e03/WAR_PDB/DYRK1A/7z5n_H_3NG.pdb
DYRK1A,5a4t,A,AJG,CC(=O)N=c1[nH]c2ccc(C#N)cc2s1,0.467,/home/jxs794/WEBTOOLs/PROTAC-Target-Builder/jobs/d6706e03/WAR_PDB/DYRK1A/5a4t_A_AJG.pdb
DYRK1A,6eiq,B,B6Z,COc1cc(N2CCN(C)CC2)ccc1Nc1nc(N)c(C(=O)c2ccccc2)s1,0.467,/home/jxs794/WEBTOOLs/PROTAC-Target-Builder/jobs/d6706e03/WAR_PDB/DYRK1A/6eiq_B_B6Z.pdb
DYRK1A,4mq1,B,2C3,COc1ncc2cc(C(=O)Nc3cc(C(=O)N[C@H](CCN)c4cccc(Cl)c4)ccc3Cl)c(=O)[nH]c2n1,0.459,/home/jxs794/WEBTOOLs/PROTAC-Target-Builder/jobs/d6706e03/WAR_PDB/DYRK1A/4mq1_B_2C3.pdb
DYRK1A,4mq1,D,2C3,COc1ncc2cc(C(=O)Nc3cc(C(=O)N[C@H](CCN)c4cccc(Cl)c4)ccc3Cl)c(=O)[nH]c2n1,0.459,/home/jxs794/WEBTOOLs/PROTAC-Target-Builder/jobs/d6706e03/WAR_PDB/DYRK1A/4mq1_D_2C3.pdb
DYRK1A,6eil,D,B6B,COc1ccc(N)cc1-c1cnc(N)c(C(=O)c2cccnc2)n1,0.458,/home/jxs794/WEBTOOLs/PROTAC-Target-Builder/jobs/d6706e03/WAR_PDB/DYRK1A/6eil_D_B6B.pdb
DYRK1A,4ylk,A,4E2,O=C(O)c1nc2ccc(I)cc2c2[nH]c3c(Cl)cccc3c12,0.455,/home/jxs794/WEBTOOLs/PROTAC-Target-Builder/jobs/d6706e03/WAR_PDB/DYRK1A/4ylk_A_4E2.pdb
DYRK1A,6eiv,B,B6Q,CCC(=O)Nc1cccc(C(=O)c2sc(Nc3ccc(N4CCN(C)CC4)cc3)nc2N)c1,0.455,/home/jxs794/WEBTOOLs/PROTAC-Target-Builder/jobs/d6706e03/WAR_PDB/DYRK1A/6eiv_B_B6Q.pdb
DYRK1A,7a4r,B,QY8,Nc1nc2[nH]ccc2c(=O)[nH]1,0.455,/home/jxs794/WEBTOOLs/PROTAC-Target-Builder/jobs/d6706e03/WAR_PDB/DYRK1A/7a4r_B_QY8.pdb
DYRK1A,7a4s,A,QYE,Nc1ncc(Cl)c2sccc12,0.455,/home/jxs794/WEBTOOLs/PROTAC-Target-Builder/jobs/d6706e03/WAR_PDB/DYRK1A/7a4s_A_QYE.pdb
DYRK1A,7zh8,A,IWU,Brc1cnc2[nH]nnc2c1,0.45,/home/jxs794/WEBTOOLs/PROTAC-Target-Builder/jobs/d6706e03/WAR_PDB/DYRK1A/7zh8_A_IWU.pdb
DYRK1A,7zh8,D,IWU,Brc1cnc2[nH]nnc2c1,0.45,/home/jxs794/WEBTOOLs/PROTAC-Target-Builder/jobs/d6706e03/WAR_PDB/DYRK1A/7zh8_D_IWU.pdb
DYRK1A,4mq2,B,2C4,COC(=O)c1ccc(Cl)c(NC(=O)c2cc3cnc(OC)nc3[nH]c2=O)c1,0.444,/home/jxs794/WEBTOOLs/PROTAC-Target-Builder/jobs/d6706e03/WAR_PDB/DYRK1A/4mq2_B_2C4.pdb
DYRK1A,4mq2,C,2C4,COC(=O)c1ccc(Cl)c(NC(=O)c2cc3cnc(OC)nc3[nH]c2=O)c1,0.444,/home/jxs794/WEBTOOLs/PROTAC-Target-Builder/jobs/d6706e03/WAR_PDB/DYRK1A/4mq2_C_2C4.pdb
DYRK1A,7fhs,C,4VZ,CCOc1cc(/C=C2\SC(=S)NC2=O)ccc1O,0.444,/home/jxs794/WEBTOOLs/PROTAC-Target-Builder/jobs/d6706e03/WAR_PDB/DYRK1A/7fhs_C_4VZ.pdb
DYRK1A,4nct,D,2K2,CO[C@@H]1[C@H](N(C)C(=O)c2ccccc2)C[C@H]2O[C@]1(C)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4,0.442,/home/jxs794/WEBTOOLs/PROTAC-Target-Builder/jobs/d6706e03/WAR_PDB/DYRK1A/4nct_D_2K2.pdb
DYRK1A,8c3r,B,R7O,O=c1c(O)c(-c2ccc(O)c(O)c2)oc2c(O[C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)c(O)cc(O)c12,0.441,/home/jxs794/WEBTOOLs/PROTAC-Target-Builder/jobs/d6706e03/WAR_PDB/DYRK1A/8c3r_B_R7O.pdb
DYRK1A,6t6a,A,MLW,O=c1ccccc2[nH]c3c(Cl)cccc3c12,0.438,/home/jxs794/WEBTOOLs/PROTAC-Target-Builder/jobs/d6706e03/WAR_PDB/DYRK1A/6t6a_A_MLW.pdb
DYRK1A,4mq1,C,2C3,COc1ncc2cc(C(=O)Nc3cc(C(=O)N[C@H](CCN)c4cccc(Cl)c4)ccc3Cl)c(=O)[nH]c2n1,0.432,/home/jxs794/WEBTOOLs/PROTAC-Target-Builder/jobs/d6706e03/WAR_PDB/DYRK1A/4mq1_C_2C3.pdb
DYRK1A,4ylj,B,4E1,O=C(O)c1nc2ccccc2c2[nH]c3c(I)cccc3c12,0.429,/home/jxs794/WEBTOOLs/PROTAC-Target-Builder/jobs/d6706e03/WAR_PDB/DYRK1A/4ylj_B_4E1.pdb
DYRK1A,5a3x,B,QIV,CC(=O)Nc1nc2cc(O)ccc2s1,0.429,/home/jxs794/WEBTOOLs/PROTAC-Target-Builder/jobs/d6706e03/WAR_PDB/DYRK1A/5a3x_B_QIV.pdb
DYRK1A,5a3x,D,QIV,CC(=O)Nc1nc2cc(O)ccc2s1,0.429,/home/jxs794/WEBTOOLs/PROTAC-Target-Builder/jobs/d6706e03/WAR_PDB/DYRK1A/5a3x_D_QIV.pdb
DYRK1A,5a4l,A,ZC3,CC(=O)Nc1nc2cc(F)ccc2s1,0.429,/home/jxs794/WEBTOOLs/PROTAC-Target-Builder/jobs/d6706e03/WAR_PDB/DYRK1A/5a4l_A_ZC3.pdb
DYRK1A,5a4l,D,ZC3,CC(=O)Nc1nc2cc(F)ccc2s1,0.429,/home/jxs794/WEBTOOLs/PROTAC-Target-Builder/jobs/d6706e03/WAR_PDB/DYRK1A/5a4l_D_ZC3.pdb
DYRK1A,6eir,A,B6H,CCC(=O)Nc1ccc(C(=O)c2sc(Nc3ccc(N4CCN(C)CC4)cc3OC)nc2N)cc1,0.429,/home/jxs794/WEBTOOLs/PROTAC-Target-Builder/jobs/d6706e03/WAR_PDB/DYRK1A/6eir_A_B6H.pdb
DYRK1A,6yf8,B,OPW,COc1ccc2sc(-c3cncc(NC(C)=O)c3)nc2c1,0.429,/home/jxs794/WEBTOOLs/PROTAC-Target-Builder/jobs/d6706e03/WAR_PDB/DYRK1A/6yf8_B_OPW.pdb
DYRK1A,6s11,B,KQE,FC(F)(F)Oc1cccc(-c2cnc3ccc(-c4ccncc4)nn23)c1,0.423,/home/jxs794/WEBTOOLs/PROTAC-Target-Builder/jobs/d6706e03/WAR_PDB/DYRK1A/6s11_B_KQE.pdb
DYRK1A,4nct,A,2K2,CO[C@@H]1[C@H](N(C)C(=O)c2ccccc2)C[C@H]2O[C@]1(C)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4,0.419,/home/jxs794/WEBTOOLs/PROTAC-Target-Builder/jobs/d6706e03/WAR_PDB/DYRK1A/4nct_A_2K2.pdb
DYRK1A,5aik,C,AWR,COc1ccc2c3ccnc(C(F)(F)F)c3n(CCCCN)c2c1,0.417,/home/jxs794/WEBTOOLs/PROTAC-Target-Builder/jobs/d6706e03/WAR_PDB/DYRK1A/5aik_C_AWR.pdb
DYRK1A,5aik,D,AWR,COc1ccc2c3ccnc(C(F)(F)F)c3n(CCCCN)c2c1,0.417,/home/jxs794/WEBTOOLs/PROTAC-Target-Builder/jobs/d6706e03/WAR_PDB/DYRK1A/5aik_D_AWR.pdb
DYRK1A,8r8e,C,YOX,N#Cc1c(C2CCCC2)[nH]c2c(I)cccc12,0.412,/home/jxs794/WEBTOOLs/PROTAC-Target-Builder/jobs/d6706e03/WAR_PDB/DYRK1A/8r8e_C_YOX.pdb
DYRK1A,6ej4,B,B7W,Nc1cccc(-c2cnc3[nH]cc(-c4cccnc4)c3c2)c1,0.409,/home/jxs794/WEBTOOLs/PROTAC-Target-Builder/jobs/d6706e03/WAR_PDB/DYRK1A/6ej4_B_B7W.pdb
DYRK1A,6ej4,D,B7W,Nc1cccc(-c2cnc3[nH]cc(-c4cccnc4)c3c2)c1,0.409,/home/jxs794/WEBTOOLs/PROTAC-Target-Builder/jobs/d6706e03/WAR_PDB/DYRK1A/6ej4_D_B7W.pdb
DYRK1A,4mq2,D,2C4,COC(=O)c1ccc(Cl)c(NC(=O)c2cc3cnc(OC)nc3[nH]c2=O)c1,0.407,/home/jxs794/WEBTOOLs/PROTAC-Target-Builder/jobs/d6706e03/WAR_PDB/DYRK1A/4mq2_D_2C4.pdb
DYRK1A,7o7k,B,6ZV,CCN1CCN(Cc2ccc(Nc3ncc(F)c(-c4cc(F)c5nc(C)n(C(C)C)c5c4)n3)nc2)CC1,0.405,/home/jxs794/WEBTOOLs/PROTAC-Target-Builder/jobs/d6706e03/WAR_PDB/DYRK1A/7o7k_B_6ZV.pdb
DYRK1A,5a4e,A,7QQ,COc1ccc2sc(NC(C)=O)nc2c1,0.4,/home/jxs794/WEBTOOLs/PROTAC-Target-Builder/jobs/d6706e03/WAR_PDB/DYRK1A/5a4e_A_7QQ.pdb
DYRK1A,5a4e,B,7QQ,COc1ccc2sc(NC(C)=O)nc2c1,0.4,/home/jxs794/WEBTOOLs/PROTAC-Target-Builder/jobs/d6706e03/WAR_PDB/DYRK1A/5a4e_B_7QQ.pdb
DYRK1A,5a4t,B,AJG,CC(=O)N=c1[nH]c2ccc(C#N)cc2s1,0.4,/home/jxs794/WEBTOOLs/PROTAC-Target-Builder/jobs/d6706e03/WAR_PDB/DYRK1A/5a4t_B_AJG.pdb
DYRK1A,5a4t,C,AJG,CC(=O)N=c1[nH]c2ccc(C#N)cc2s1,0.4,/home/jxs794/WEBTOOLs/PROTAC-Target-Builder/jobs/d6706e03/WAR_PDB/DYRK1A/5a4t_C_AJG.pdb
DYRK1A,5a4t,D,AJG,CC(=O)N=c1[nH]c2ccc(C#N)cc2s1,0.4,/home/jxs794/WEBTOOLs/PROTAC-Target-Builder/jobs/d6706e03/WAR_PDB/DYRK1A/5a4t_D_AJG.pdb
DYRK1A,7ajv,A,RKK,CCCCc1nc2ccc(-c3cc(N)nc(N)c3)nc2n1CCCC,0.4,/home/jxs794/WEBTOOLs/PROTAC-Target-Builder/jobs/d6706e03/WAR_PDB/DYRK1A/7ajv_A_RKK.pdb
DYRK1A,7zh8,B,IWU,Brc1cnc2[nH]nnc2c1,0.4,/home/jxs794/WEBTOOLs/PROTAC-Target-Builder/jobs/d6706e03/WAR_PDB/DYRK1A/7zh8_B_IWU.pdb
DYRK1A,6qu2,C,JHW,O=c1c2c(ccc3nc(-c4cccnc4)sc32)ncn1C1CC1,0.391,/home/jxs794/WEBTOOLs/PROTAC-Target-Builder/jobs/d6706e03/WAR_PDB/DYRK1A/6qu2_C_JHW.pdb
DYRK1A,7a5b,B,MFR,COc1ccnc2[nH]cc(-c3ccnc(N)n3)c12,0.389,/home/jxs794/WEBTOOLs/PROTAC-Target-Builder/jobs/d6706e03/WAR_PDB/DYRK1A/7a5b_B_MFR.pdb
DYRK1A,7fhs,B,4VZ,CCOc1cc(/C=C2\SC(=S)NC2=O)ccc1O,0.389,/home/jxs794/WEBTOOLs/PROTAC-Target-Builder/jobs/d6706e03/WAR_PDB/DYRK1A/7fhs_B_4VZ.pdb
DYRK1A,7fhs,D,4VZ,CCOc1cc(/C=C2\SC(=S)NC2=O)ccc1O,0.389,/home/jxs794/WEBTOOLs/PROTAC-Target-Builder/jobs/d6706e03/WAR_PDB/DYRK1A/7fhs_D_4VZ.pdb
DYRK1A,7fht,B,4WD,C#Cc1cc(/C=C2\SC(=S)NC2=O)ccc1OC,0.389,/home/jxs794/WEBTOOLs/PROTAC-Target-Builder/jobs/d6706e03/WAR_PDB/DYRK1A/7fht_B_4WD.pdb
DYRK1A,7fht,C,4WD,C#Cc1cc(/C=C2\SC(=S)NC2=O)ccc1OC,0.389,/home/jxs794/WEBTOOLs/PROTAC-Target-Builder/jobs/d6706e03/WAR_PDB/DYRK1A/7fht_C_4WD.pdb
DYRK1A,6s11,A,KQE,FC(F)(F)Oc1cccc(-c2cnc3ccc(-c4ccncc4)nn23)c1,0.385,/home/jxs794/WEBTOOLs/PROTAC-Target-Builder/jobs/d6706e03/WAR_PDB/DYRK1A/6s11_A_KQE.pdb
DYRK1A,4ylj,A,4E1,O=C(O)c1nc2ccccc2c2[nH]c3c(I)cccc3c12,0.381,/home/jxs794/WEBTOOLs/PROTAC-Target-Builder/jobs/d6706e03/WAR_PDB/DYRK1A/4ylj_A_4E1.pdb
DYRK1A,4ylj,C,4E1,O=C(O)c1nc2ccccc2c2[nH]c3c(I)cccc3c12,0.381,/home/jxs794/WEBTOOLs/PROTAC-Target-Builder/jobs/d6706e03/WAR_PDB/DYRK1A/4ylj_C_4E1.pdb
DYRK1A,6yf8,A,OPW,COc1ccc2sc(-c3cncc(NC(C)=O)c3)nc2c1,0.381,/home/jxs794/WEBTOOLs/PROTAC-Target-Builder/jobs/d6706e03/WAR_PDB/DYRK1A/6yf8_A_OPW.pdb
DYRK1A,6yf8,C,OPW,COc1ccc2sc(-c3cncc(NC(C)=O)c3)nc2c1,0.381,/home/jxs794/WEBTOOLs/PROTAC-Target-Builder/jobs/d6706e03/WAR_PDB/DYRK1A/6yf8_C_OPW.pdb
